text,label
Limited time offer - 80% discount!,spam
Limited time offer - 80% discount!,spam
Just checking in to see how you're doing.,ham
You've been selected for a special promotion.,spam
Limited time offer - 80% discount!,spam
Limited time offer - 80% discount!,spam
What's up? Let's catch up sometime.,ham
Hi! How are you doing?,ham
Click here to claim your reward.,spam
Congratulations! You've won a prize.,spam
What's up? Let's catch up sometime.,ham
Reminder: Meeting at 2 PM tomorrow.,ham
Just checking in to see how you're doing.,ham
What's up? Let's catch up sometime.,ham
Don't forget to buy groceries on your way home.,ham
Just checking in to see how you're doing.,ham
Get a free iPhone now!,spam
You've been selected for a special promotion.,spam
Just checking in to see how you're doing.,ham
Congratulations! You've won a prize.,spam
Don't forget to buy groceries on your way home.,ham
Hi! How are you doing?,ham
Get a free iPhone now!,spam
Hi! How are you doing?,ham
Get a free iPhone now!,spam
Don't forget to buy groceries on your way home.,ham
Congratulations! You've won a prize.,spam
Congratulations! You've won a prize.,spam
Reminder: Meeting at 2 PM tomorrow.,ham
Hi! How are you doing?,ham
Don't forget to buy groceries on your way home.,ham
What's up? Let's catch up sometime.,ham
What's up? Let's catch up sometime.,ham
Don't forget to buy groceries on your way home.,ham
What's up? Let's catch up sometime.,ham
Hi! How are you doing?,ham
Limited time offer - 80% discount!,spam
What's up? Let's catch up sometime.,ham
Limited time offer - 80% discount!,spam
Reminder: Meeting at 2 PM tomorrow.,ham
Reminder: Meeting at 2 PM tomorrow.,ham
Don't forget to buy groceries on your way home.,ham
Click here to claim your reward.,spam
Get a free iPhone now!,spam
Get a free iPhone now!,spam
Just checking in to see how you're doing.,ham
Click here to claim your reward.,spam
You've been selected for a special promotion.,spam
Get a free iPhone now!,spam
Just checking in to see how you're doing.,ham
Click here to claim your reward.,spam
Limited time offer - 80% discount!,spam
Hi! How are you doing?,ham
Click here to claim your reward.,spam
Hi! How are you doing?,ham
You've been selected for a special promotion.,spam
Reminder: Meeting at 2 PM tomorrow.,ham
Don't forget to buy groceries on your way home.,ham
Limited time offer - 80% discount!,spam
You've been selected for a special promotion.,spam
Congratulations! You've won a prize.,spam
Just checking in to see how you're doing.,ham
Reminder: Meeting at 2 PM tomorrow.,ham
What's up? Let's catch up sometime.,ham
Reminder: Meeting at 2 PM tomorrow.,ham
Hi! How are you doing?,ham
Don't forget to buy groceries on your way home.,ham
What's up? Let's catch up sometime.,ham
Don't forget to buy groceries on your way home.,ham
Limited time offer - 80% discount!,spam
Don't forget to buy groceries on your way home.,ham
Hi! How are you doing?,ham
Hi! How are you doing?,ham
Hi! How are you doing?,ham
Get a free iPhone now!,spam
Click here to claim your reward.,spam
Get a free iPhone now!,spam
Get a free iPhone now!,spam
Hi! How are you doing?,ham
Get a free iPhone now!,spam
You've been selected for a special promotion.,spam
Hi! How are you doing?,ham
You've been selected for a special promotion.,spam
Just checking in to see how you're doing.,ham
Get a free iPhone now!,spam
Congratulations! You've won a prize.,spam
Just checking in to see how you're doing.,ham
Click here to claim your reward.,spam
Limited time offer - 80% discount!,spam
Don't forget to buy groceries on your way home.,ham
Click here to claim your reward.,spam
Congratulations! You've won a prize.,spam
Limited time offer - 80% discount!,spam
Click here to claim your reward.,spam
Congratulations! You've won a prize.,spam
Don't forget to buy groceries on your way home.,ham
You've been selected for a special promotion.,spam
Just checking in to see how you're doing.,ham
Limited time offer - 80% discount!,spam
Get a free iPhone now!,spam
Congratulations! You've won a prize.,spam
Reminder: Meeting at 2 PM tomorrow.,ham
Just checking in to see how you're doing.,ham
Don't forget to buy groceries on your way home.,ham
You've been selected for a special promotion.,spam
Get a free iPhone now!,spam
What's up? Let's catch up sometime.,ham
Reminder: Meeting at 2 PM tomorrow.,ham
Click here to claim your reward.,spam
Just checking in to see how you're doing.,ham
Just checking in to see how you're doing.,ham
Don't forget to buy groceries on your way home.,ham
What's up? Let's catch up sometime.,ham
You've been selected for a special promotion.,spam
Limited time offer - 80% discount!,spam
Hi! How are you doing?,ham
Congratulations! You've won a prize.,spam
Limited time offer - 80% discount!,spam
Hi! How are you doing?,ham
Don't forget to buy groceries on your way home.,ham
Don't forget to buy groceries on your way home.,ham
Just checking in to see how you're doing.,ham
Reminder: Meeting at 2 PM tomorrow.,ham
Get a free iPhone now!,spam
Get a free iPhone now!,spam
Click here to claim your reward.,spam
Just checking in to see how you're doing.,ham
Reminder: Meeting at 2 PM tomorrow.,ham
What's up? Let's catch up sometime.,ham
Get a free iPhone now!,spam
Don't forget to buy groceries on your way home.,ham
Don't forget to buy groceries on your way home.,ham
Don't forget to buy groceries on your way home.,ham
Get a free iPhone now!,spam
Reminder: Meeting at 2 PM tomorrow.,ham
Congratulations! You've won a prize.,spam
Get a free iPhone now!,spam
Hi! How are you doing?,ham
Congratulations! You've won a prize.,spam
You've been selected for a special promotion.,spam
You've been selected for a special promotion.,spam
Reminder: Meeting at 2 PM tomorrow.,ham
Click here to claim your reward.,spam
Don't forget to buy groceries on your way home.,ham
Don't forget to buy groceries on your way home.,ham
Congratulations! You've won a prize.,spam
Click here to claim your reward.,spam
Get a free iPhone now!,spam
Click here to claim your reward.,spam
Hi! How are you doing?,ham
You've been selected for a special promotion.,spam
Congratulations! You've won a prize.,spam
What's up? Let's catch up sometime.,ham
What's up? Let's catch up sometime.,ham
Click here to claim your reward.,spam
Congratulations! You've won a prize.,spam
Get a free iPhone now!,spam
Just checking in to see how you're doing.,ham
Just checking in to see how you're doing.,ham
Limited time offer - 80% discount!,spam
Limited time offer - 80% discount!,spam
Limited time offer - 80% discount!,spam
You've been selected for a special promotion.,spam
What's up? Let's catch up sometime.,ham
You've been selected for a special promotion.,spam
What's up? Let's catch up sometime.,ham
Reminder: Meeting at 2 PM tomorrow.,ham
Limited time offer - 80% discount!,spam
Just checking in to see how you're doing.,ham
Reminder: Meeting at 2 PM tomorrow.,ham
Limited time offer - 80% discount!,spam
Congratulations! You've won a prize.,spam
Don't forget to buy groceries on your way home.,ham
What's up? Let's catch up sometime.,ham
Limited time offer - 80% discount!,spam
Limited time offer - 80% discount!,spam
Get a free iPhone now!,spam
Click here to claim your reward.,spam
Just checking in to see how you're doing.,ham
Get a free iPhone now!,spam
Congratulations! You've won a prize.,spam
Just checking in to see how you're doing.,ham
You've been selected for a special promotion.,spam
Hi! How are you doing?,ham
Reminder: Meeting at 2 PM tomorrow.,ham
Hi! How are you doing?,ham
